epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2333.27,1.06706,1.38518,1.10143,0.40596,0.38941,0.34305,0.24569,0.94162,1.28874,1.02003,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2415.68,1.05748,1.37754,1.09553,0.52132,0.36872,0.34647,0.24989,0.93756,1.27835,1.01459,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2463.14,1.06092,1.38972,1.09472,0.45969,0.36237,0.34602,0.24887,0.92769,1.26584,1.01417,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2509.55,1.06085,1.37807,1.0961,0.44149,0.35589,0.34312,0.24794,0.92958,1.27247,1.01469,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2560.46,1.05075,1.36346,1.09222,0.38619,0.36785,0.34639,0.24967,0.9283,1.26441,1.01212,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2616.83,1.04538,1.35571,1.08792,0.43565,0.35037,0.34388,0.24945,0.92463,1.27843,1.00987,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2674.18,1.04205,1.35128,1.08585,0.33522,0.39886,0.34212,0.24725,0.91565,1.27013,1.00804,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2731.49,1.03845,1.34016,1.08614,0.39867,0.40701,0.35292,0.25562,0.91874,1.26214,1.01037,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2789.44,1.03479,1.33146,1.08185,0.39552,0.4117,0.36054,0.25982,0.91466,1.24567,1.00347,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2847.34,1.03185,1.32347,1.07784,0.40721,0.38277,0.35243,0.25725,0.91298,1.24824,1.00388,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2902.25,1.02553,1.32073,1.07787,0.39924,0.39237,0.35134,0.25694,0.90583,1.23585,0.99993,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2957.35,1.02411,1.31442,1.07474,0.43313,0.35371,0.35482,0.25697,0.90471,1.24034,0.99974,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3013.16,1.01999,1.31309,1.07342,0.44406,0.36553,0.35957,0.26129,0.91337,1.23506,1.00353,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3071.88,1.0218,1.30331,1.07208,0.45747,0.37589,0.35733,0.25996,0.90153,1.24044,0.99569,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3126.65,1.01226,1.29188,1.06927,0.41397,0.38583,0.36224,0.26496,0.90306,1.23101,0.99881,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3183.13,1.0108,1.29578,1.06781,0.40741,0.3807,0.36284,0.26675,0.90204,1.21905,0.99212,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3240.8,1.00799,1.28797,1.0696,0.43903,0.40563,0.36889,0.26853,0.90317,1.2133,0.99498,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3298.09,1.0022,1.27772,1.0657,0.45746,0.38054,0.36493,0.26655,0.88325,1.2122,0.99018,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3355.49,1.00111,1.27271,1.0643,0.42986,0.36752,0.36025,0.26404,0.87837,1.22269,0.98614,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3411.82,0.99792,1.26502,1.06015,0.42012,0.4054,0.36439,0.26736,0.88036,1.21255,0.98971,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3468.25,0.9983,1.26466,1.06146,0.36903,0.41553,0.36846,0.27063,0.88004,1.20738,0.98871,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3526.73,0.99459,1.26507,1.05898,0.40684,0.40297,0.36815,0.27116,0.88143,1.22009,0.98852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3605.07,0.99486,1.25454,1.05956,0.37132,0.42743,0.36703,0.26887,0.8727,1.20032,0.98403,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3664.7,0.98711,1.25071,1.05657,0.3967,0.40039,0.37039,0.27216,0.87932,1.21176,0.98877,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3721.78,0.98627,1.24294,1.05588,0.40095,0.39973,0.37101,0.2732,0.87457,1.19692,0.98567,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3775.09,0.9802,1.23526,1.05248,0.38789,0.42142,0.37305,0.27507,0.87611,1.20097,0.98605,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3833.45,0.97844,1.22709,1.05071,0.43281,0.40124,0.37573,0.27784,0.86928,1.19454,0.98502,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3892.97,0.97216,1.22669,1.0484,0.42342,0.39501,0.37789,0.27768,0.87462,1.18738,0.98457,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3947.45,0.9722,1.2135,1.04974,0.42054,0.39173,0.37175,0.2739,0.87266,1.1942,0.98492,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3995.08,0.96833,1.21581,1.04591,0.39985,0.41561,0.37743,0.2783,0.86485,1.18742,0.98186,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4046.92,0.96762,1.21139,1.04618,0.44567,0.37827,0.37929,0.28125,0.86932,1.18572,0.9845,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4098.24,0.96645,1.20312,1.04458,0.37884,0.43993,0.38189,0.2816,0.86974,1.18131,0.98566,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4154.97,0.96002,1.19221,1.03931,0.42848,0.39692,0.37945,0.28084,0.86625,1.18708,0.98335,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4209.33,0.96004,1.19283,1.04307,0.43685,0.38839,0.38001,0.28266,0.86253,1.18955,0.98038,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4264.46,0.95581,1.186,1.03844,0.37945,0.4103,0.37515,0.27808,0.85965,1.1863,0.98089,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4323.36,0.95826,1.18463,1.04065,0.38916,0.41495,0.37551,0.27868,0.85417,1.19314,0.97706,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4378.9,0.95413,1.17725,1.03943,0.41261,0.40896,0.38122,0.28283,0.85844,1.18816,0.97886,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4437.03,0.95215,1.1734,1.03673,0.39874,0.41669,0.37775,0.2795,0.85505,1.18507,0.97985,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4492.85,0.94764,1.17317,1.03778,0.40054,0.40722,0.37533,0.27787,0.85723,1.18076,0.98098,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4546.58,0.94324,1.16375,1.03436,0.37494,0.42119,0.37699,0.27916,0.8581,1.17534,0.97996,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4604.65,0.94479,1.15305,1.03121,0.35977,0.43414,0.37613,0.27912,0.85541,1.17831,0.97835,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4662.62,0.93717,1.15077,1.02869,0.37189,0.4235,0.37714,0.27851,0.85669,1.18111,0.98002,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4717.5,0.93885,1.15355,1.03008,0.4235,0.39036,0.37673,0.27929,0.85587,1.17738,0.97949,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4774.91,0.93422,1.1433,1.02902,0.3846,0.39811,0.37338,0.27696,0.8551,1.17717,0.97982,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4826.98,0.93336,1.13673,1.02718,0.3659,0.42116,0.37694,0.27834,0.85384,1.17505,0.97867,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4874.52,0.93039,1.13881,1.0275,0.41585,0.3891,0.37619,0.27925,0.853,1.17553,0.97765,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4921.45,0.92158,1.12587,1.0234,0.37601,0.41216,0.3764,0.27984,0.85154,1.18114,0.97773,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4968.08,0.92761,1.12984,1.02397,0.4371,0.38023,0.37645,0.28049,0.85157,1.17791,0.97834,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5014.49,0.91998,1.11942,1.02438,0.41948,0.38881,0.37531,0.27924,0.85,1.17622,0.97894,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5060.87,0.92015,1.11364,1.02114,0.41404,0.3946,0.37418,0.2787,0.8483,1.1756,0.97811,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5107.38,0.91687,1.10489,1.01806,0.44314,0.37931,0.37647,0.28,0.84742,1.17771,0.97735,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5154.92,0.91491,1.10341,1.01809,0.42884,0.38626,0.3767,0.28008,0.84626,1.17867,0.97534,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
